,DATE,per_capita_income,county,state
0,1969-01-01,4272,Albany County,New York
1,1970-01-01,4821,Albany County,New York
2,1971-01-01,5304,Albany County,New York
3,1972-01-01,5709,Albany County,New York
4,1973-01-01,6154,Albany County,New York
5,1974-01-01,6641,Albany County,New York
6,1975-01-01,7184,Albany County,New York
7,1976-01-01,7623,Albany County,New York
8,1977-01-01,8200,Albany County,New York
9,1978-01-01,8859,Albany County,New York
10,1979-01-01,9649,Albany County,New York
11,1980-01-01,10720,Albany County,New York
12,1981-01-01,11769,Albany County,New York
13,1982-01-01,12824,Albany County,New York
14,1983-01-01,13885,Albany County,New York
15,1984-01-01,15348,Albany County,New York
16,1985-01-01,16455,Albany County,New York
17,1986-01-01,17645,Albany County,New York
18,1987-01-01,18643,Albany County,New York
19,1988-01-01,20287,Albany County,New York
20,1989-01-01,22399,Albany County,New York
21,1990-01-01,23687,Albany County,New York
22,1991-01-01,24029,Albany County,New York
23,1992-01-01,25165,Albany County,New York
24,1993-01-01,25663,Albany County,New York
25,1994-01-01,26180,Albany County,New York
26,1995-01-01,26999,Albany County,New York
27,1996-01-01,27956,Albany County,New York
28,1997-01-01,29505,Albany County,New York
29,1998-01-01,31118,Albany County,New York
30,1999-01-01,33415,Albany County,New York
31,2000-01-01,35886,Albany County,New York
32,2001-01-01,35753,Albany County,New York
33,2002-01-01,35312,Albany County,New York
34,2003-01-01,36420,Albany County,New York
35,2004-01-01,37470,Albany County,New York
36,2005-01-01,38112,Albany County,New York
37,2006-01-01,39704,Albany County,New York
38,2007-01-01,41169,Albany County,New York
39,2008-01-01,43511,Albany County,New York
40,2009-01-01,44014,Albany County,New York
41,2010-01-01,46273,Albany County,New York
42,2011-01-01,47895,Albany County,New York
43,2012-01-01,49421,Albany County,New York
44,2013-01-01,49771,Albany County,New York
45,2014-01-01,52358,Albany County,New York
46,2015-01-01,54106,Albany County,New York
47,2016-01-01,53936,Albany County,New York
48,2017-01-01,57279,Albany County,New York
49,2018-01-01,57705,Albany County,New York
50,2019-01-01,62495,Albany County,New York
51,2020-01-01,67115,Albany County,New York
52,2021-01-01,70947,Albany County,New York
53,1969-01-01,2928,Allegany County,New York
54,1970-01-01,3208,Allegany County,New York
55,1971-01-01,3424,Allegany County,New York
56,1972-01-01,3511,Allegany County,New York
57,1973-01-01,3831,Allegany County,New York
58,1974-01-01,4211,Allegany County,New York
59,1975-01-01,4513,Allegany County,New York
60,1976-01-01,4808,Allegany County,New York
61,1977-01-01,5102,Allegany County,New York
62,1978-01-01,5546,Allegany County,New York
63,1979-01-01,6218,Allegany County,New York
64,1980-01-01,6985,Allegany County,New York
65,1981-01-01,7555,Allegany County,New York
66,1982-01-01,8187,Allegany County,New York
67,1983-01-01,8467,Allegany County,New York
68,1984-01-01,9191,Allegany County,New York
69,1985-01-01,9706,Allegany County,New York
70,1986-01-01,10304,Allegany County,New York
71,1987-01-01,11040,Allegany County,New York
72,1988-01-01,12077,Allegany County,New York
73,1989-01-01,12838,Allegany County,New York
74,1990-01-01,13610,Allegany County,New York
75,1991-01-01,14031,Allegany County,New York
76,1992-01-01,15011,Allegany County,New York
77,1993-01-01,15439,Allegany County,New York
78,1994-01-01,15612,Allegany County,New York
79,1995-01-01,16295,Allegany County,New York
80,1996-01-01,17251,Allegany County,New York
81,1997-01-01,17601,Allegany County,New York
82,1998-01-01,18368,Allegany County,New York
83,1999-01-01,19046,Allegany County,New York
84,2000-01-01,19906,Allegany County,New York
85,2001-01-01,20190,Allegany County,New York
86,2002-01-01,20684,Allegany County,New York
87,2003-01-01,21334,Allegany County,New York
88,2004-01-01,22456,Allegany County,New York
89,2005-01-01,23109,Allegany County,New York
90,2006-01-01,23980,Allegany County,New York
91,2007-01-01,25036,Allegany County,New York
92,2008-01-01,27661,Allegany County,New York
93,2009-01-01,27501,Allegany County,New York
94,2010-01-01,28320,Allegany County,New York
95,2011-01-01,29003,Allegany County,New York
96,2012-01-01,29864,Allegany County,New York
97,2013-01-01,29739,Allegany County,New York
98,2014-01-01,31141,Allegany County,New York
99,2015-01-01,31902,Allegany County,New York
100,2016-01-01,32061,Allegany County,New York
101,2017-01-01,33559,Allegany County,New York
102,2018-01-01,34030,Allegany County,New York
103,2019-01-01,36813,Allegany County,New York
104,2020-01-01,40558,Allegany County,New York
105,2021-01-01,42569,Allegany County,New York
106,1969-01-01,3632,Bronx County,New York
107,1970-01-01,3839,Bronx County,New York
108,1971-01-01,3999,Bronx County,New York
109,1972-01-01,4199,Bronx County,New York
110,1973-01-01,4497,Bronx County,New York
111,1974-01-01,4894,Bronx County,New York
112,1975-01-01,5373,Bronx County,New York
113,1976-01-01,5633,Bronx County,New York
114,1977-01-01,6069,Bronx County,New York
