ID PUMA,PUMA,ID Year,Year,Total Population,Slug PUMA,
79500US7200101,"Carr 2-Carr 111 PUMA, PR",2020,2020,149549,carr-2-carr-111-puma-pr,
79500US7200102,"Carr 2 (Noroeste) PUMA, PR",2020,2020,115778,carr-2-noroeste-puma-pr,
79500US7200201,"Carr 2-Carr 100 PUMA, PR",2020,2020,123359,carr-2-carr-100-puma-pr,
79500US7200202,"Carr 2 (Suroeste) PUMA, PR",2020,2020,103125,carr-2-suroeste-puma-pr,
79500US7200301,"Carr 2 (Norte) PUMA, PR",2020,2020,119185,carr-2-norte-puma-pr,
79500US7200302,"Carr 2-Carr 129 PUMA, PR",2020,2020,123571,carr-2-carr-129-puma-pr,
79500US7200401,"Carr 2 (Sur) PUMA, PR",2020,2020,105782,carr-2-sur-puma-pr,
79500US7200402,"Ponce & Jayuya Municipios PUMA, PR",2020,2020,149944,ponce-jayuya-municipios-puma-pr,
79500US7200403,"Carr 52-Carr 150 PUMA, PR",2020,2020,127383,carr-52-carr-150-puma-pr,
79500US7200501,"Carr 137-Carr 149 PUMA, PR",2020,2020,136061,carr-137-carr-149-puma-pr,
79500US7200502,"Toa Baja & Dorado Municipios PUMA, PR",2020,2020,112414,toa-baja-dorado-municipios-puma-pr,
79500US7200503,"Toa Alta & Vega Alta Municipios PUMA, PR",2020,2020,109274,toa-alta-vega-alta-municipios-puma-pr,
79500US7200601,"Carr 156-Carr 164 PUMA, PR",2020,2020,128260,carr-156-carr-164-puma-pr,
79500US7200602,"Carr 14-Carr 173 PUMA, PR",2020,2020,130116,carr-14-carr-173-puma-pr,
79500US7200701,"Carr 3 (Sureste) PUMA, PR",2020,2020,112536,carr-3-sureste-puma-pr,
79500US7200801,"Bayamón Municipio (Este) PUMA, PR",2020,2020,89732,bayamon-municipio-este-puma-pr,
79500US7200802,"Bayamón Municipio (OEste) PUMA, PR",2020,2020,83719,bayamon-municipio-oeste-puma-pr,
79500US7200803,"Guaynabo & Cataño Municipios PUMA, PR",2020,2020,108958,guaynabo-catano-municipios-puma-pr,
79500US7200804,"San Juan Municipio (Noroeste) PUMA, PR",2020,2020,150862,san-juan-municipio-noroeste-puma-pr,
79500US7200805,"San Juan Municipio (Este) PUMA, PR",2020,2020,82981,san-juan-municipio-este-puma-pr,
79500US7200806,"San Juan Municipio (Sur) PUMA, PR",2020,2020,93304,san-juan-municipio-sur-puma-pr,
79500US7200901,"Carolina Municipio (Norte) PUMA, PR",2020,2020,145842,carolina-municipio-norte-puma-pr,
79500US7200902,"Carr 852-Carr 185 PUMA, PR",2020,2020,139785,carr-852-carr-185-puma-pr,
