,Year,per_capita_income,County,County (no county)
0,1970,4821,Albany County,Albany
1,1971,5304,Albany County,Albany
2,1972,5709,Albany County,Albany
3,1973,6154,Albany County,Albany
4,1974,6641,Albany County,Albany
5,1975,7184,Albany County,Albany
6,1976,7623,Albany County,Albany
7,1977,8200,Albany County,Albany
8,1978,8859,Albany County,Albany
9,1979,9649,Albany County,Albany
10,1980,10720,Albany County,Albany
11,1981,11769,Albany County,Albany
12,1982,12824,Albany County,Albany
13,1983,13885,Albany County,Albany
14,1984,15348,Albany County,Albany
15,1985,16455,Albany County,Albany
16,1986,17645,Albany County,Albany
17,1987,18643,Albany County,Albany
18,1988,20287,Albany County,Albany
19,1989,22399,Albany County,Albany
20,1990,23687,Albany County,Albany
21,1991,24029,Albany County,Albany
22,1992,25165,Albany County,Albany
23,1993,25663,Albany County,Albany
24,1994,26180,Albany County,Albany
25,1995,26999,Albany County,Albany
26,1996,27956,Albany County,Albany
27,1997,29505,Albany County,Albany
28,1998,31118,Albany County,Albany
29,1999,33415,Albany County,Albany
30,2000,35886,Albany County,Albany
31,2001,35753,Albany County,Albany
32,2002,35312,Albany County,Albany
33,2003,36420,Albany County,Albany
34,2004,37470,Albany County,Albany
35,2005,38112,Albany County,Albany
36,2006,39704,Albany County,Albany
37,2007,41169,Albany County,Albany
38,2008,43511,Albany County,Albany
39,2009,44014,Albany County,Albany
40,2010,46273,Albany County,Albany
41,2011,47895,Albany County,Albany
42,2012,49421,Albany County,Albany
43,2013,49771,Albany County,Albany
44,2014,52358,Albany County,Albany
45,2015,54106,Albany County,Albany
46,2016,53936,Albany County,Albany
47,2017,57279,Albany County,Albany
48,2018,57705,Albany County,Albany
49,2019,62495,Albany County,Albany
50,2020,67115,Albany County,Albany
51,1970,3208,Allegany County,Allegany
52,1971,3424,Allegany County,Allegany
53,1972,3511,Allegany County,Allegany
54,1973,3831,Allegany County,Allegany
55,1974,4211,Allegany County,Allegany
56,1975,4513,Allegany County,Allegany
57,1976,4808,Allegany County,Allegany
58,1977,5102,Allegany County,Allegany
59,1978,5546,Allegany County,Allegany
60,1979,6218,Allegany County,Allegany
61,1980,6985,Allegany County,Allegany
62,1981,7555,Allegany County,Allegany
63,1982,8187,Allegany County,Allegany
64,1983,8467,Allegany County,Allegany
65,1984,9191,Allegany County,Allegany
66,1985,9706,Allegany County,Allegany
67,1986,10304,Allegany County,Allegany
68,1987,11040,Allegany County,Allegany
69,1988,12077,Allegany County,Allegany
70,1989,12838,Allegany County,Allegany
71,1990,13610,Allegany County,Allegany
72,1991,14031,Allegany County,Allegany
73,1992,15011,Allegany County,Allegany
74,1993,15439,Allegany County,Allegany
75,1994,15612,Allegany County,Allegany
76,1995,16295,Allegany County,Allegany
77,1996,17251,Allegany County,Allegany
78,1997,17601,Allegany County,Allegany
79,1998,18368,Allegany County,Allegany
80,1999,19046,Allegany County,Allegany
81,2000,19906,Allegany County,Allegany
82,2001,20190,Allegany County,Allegany
83,2002,20684,Allegany County,Allegany
84,2003,21334,Allegany County,Allegany
85,2004,22456,Allegany County,Allegany
86,2005,23109,Allegany County,Allegany
87,2006,23980,Allegany County,Allegany
88,2007,25036,Allegany County,Allegany
89,2008,27661,Allegany County,Allegany
90,2009,27501,Allegany County,Allegany
91,2010,28320,Allegany County,Allegany
92,2011,29003,Allegany County,Allegany
93,2012,29864,Allegany County,Allegany
94,2013,29739,Allegany County,Allegany
95,2014,31141,Allegany County,Allegany
96,2015,31902,Allegany County,Allegany
97,2016,32061,Allegany County,Allegany
98,2017,33559,Allegany County,Allegany
99,2018,34030,Allegany County,Allegany
100,2019,36813,Allegany County,Allegany
101,2020,40558,Allegany County,Allegany
102,1970,3839,Bronx County,Bronx
103,1971,3999,Bronx County,Bronx
104,1972,4199,Bronx County,Bronx
105,1973,4497,Bronx County,Bronx
106,1974,4894,Bronx County,Bronx
107,1975,5373,Bronx County,Bronx
108,1976,5633,Bronx County,Bronx
109,1977,6069,Bronx County,Bronx
110,1978,6615,Bronx County,Bronx
111,1979,7224,Bronx County,Bronx
112,1980,8127,Bronx County,Bronx
113,1981,9062,Bronx County,Bronx
114,1982,9825,Bronx County,Bronx
115,1983,10387,Bronx County,Bronx
116,1984,11282,Bronx County,Bronx
117,1985,11815,Bronx County,Bronx
118,1986,12367,Bronx County,Bronx
119,1987,12741,Bronx County,Bronx
120,1988,13526,Bronx County,Bronx
121,1989,14480,Bronx County,Bronx
122,1990,15643,Bronx County,Bronx
123,1991,15801,Bronx County,Bronx
124,1992,16119,Bronx County,Bronx
125,1993,16341,Bronx County,Bronx
126,1994,16759,Bronx County,Bronx
127,1995,17223,Bronx County,Bronx
128,1996,17631,Bronx County,Bronx
129,1997,17953,Bronx County,Bronx
130,1998,18359,Bronx County,Bronx
131,1999,18979,Bronx County,Bronx
132,2000,20102,Bronx County,Bronx
133,2001,21592,Bronx County,Bronx
134,2002,21871,Bronx County,Bronx
135,2003,22504,Bronx County,Bronx
136,2004,23772,Bronx County,Bronx
137,2005,24127,Bronx County,Bronx
138,2006,25939,Bronx County,Bronx
139,2007,28022,Bronx County,Bronx
140,2008,27856,Bronx County,Bronx
141,2009,28143,Bronx County,Bronx
142,2010,29068,Bronx County,Bronx
143,2011,29394,Bronx County,Bronx
144,2012,29116,Bronx County,Bronx
145,2013,29172,Bronx County,Bronx
146,2014,29988,Bronx County,Bronx
147,2015,31074,Bronx County,Bronx
148,2016,31592,Bronx County,Bronx
149,2017,33442,Bronx County,Bronx
150,2018,34468,Bronx County,Bronx
151,2019,37090,Bronx County,Bronx
152,2020,42414,Bronx County,Bronx
153,1970,4153,Broome County,Broome
154,1971,4412,Broome County,Broome
155,1972,4700,Broome County,Broome
156,1973,5061,Broome County,Broome
157,1974,5517,Broome County,Broome
158,1975,5991,Broome County,Broome
159,1976,6393,Broome County,Broome
160,1977,7000,Broome County,Broome
161,1978,7705,Broome County,Broome
162,1979,8440,Broome County,Broome
163,1980,9457,Broome County,Broome
164,1981,10542,Broome County,Broome
165,1982,11602,Broome County,Broome
166,1983,12430,Broome County,Broome
167,1984,13847,Broome County,Broome
168,1985,14527,Broome County,Broome
169,1986,15203,Broome County,Broome
170,1987,16102,Broome County,Broome
171,1988,17030,Broome County,Broome
172,1989,18281,Broome County,Broome
173,1990,19027,Broome County,Broome
174,1991,19536,Broome County,Broome
175,1992,20194,Broome County,Broome
176,1993,20162,Broome County,Broome
177,1994,20460,Broome County,Broome
178,1995,21242,Broome County,Broome
179,1996,22139,Broome County,Broome
180,1997,23156,Broome County,Broome
181,1998,23718,Broome County,Broome
182,1999,24725,Broome County,Broome
183,2000,26327,Broome County,Broome
184,2001,26610,Broome County,Broome
185,2002,27107,Broome County,Broome
186,2003,27271,Broome County,Broome
187,2004,28298,Broome County,Broome
188,2005,28461,Broome County,Broome
189,2006,30158,Broome County,Broome
190,2007,32103,Broome County,Broome
191,2008,33957,Broome County,Broome
192,2009,34368,Broome County,Broome
193,2010,35443,Broome County,Broome
194,2011,36236,Broome County,Broome
195,2012,37042,Broome County,Broome
196,2013,36935,Broome County,Broome
197,2014,37158,Broome County,Broome
198,2015,38615,Broome County,Broome
199,2016,38938,Broome County,Broome
200,2017,40954,Broome County,Broome
201,2018,41838,Broome County,Broome
202,2019,43732,Broome County,Broome
203,2020,47712,Broome County,Broome
204,1970,3318,Cattaraugus County,Cattaraugus
205,1971,3473,Cattaraugus County,Cattaraugus
206,1972,3630,Cattaraugus County,Cattaraugus
207,1973,4108,Cattaraugus County,Cattaraugus
208,1974,4556,Cattaraugus County,Cattaraugus
209,1975,4920,Cattaraugus County,Cattaraugus
210,1976,5245,Cattaraugus County,Cattaraugus
211,1977,5653,Cattaraugus County,Cattaraugus
212,1978,6140,Cattaraugus County,Cattaraugus
213,1979,6949,Cattaraugus County,Cattaraugus
214,1980,7636,Cattaraugus County,Cattaraugus
215,1981,8305,Cattaraugus County,Cattaraugus
216,1982,8936,Cattaraugus County,Cattaraugus
217,1983,9390,Cattaraugus County,Cattaraugus
218,1984,10366,Cattaraugus County,Cattaraugus
219,1985,10958,Cattaraugus County,Cattaraugus
220,1986,11595,Cattaraugus County,Cattaraugus
221,1987,12353,Cattaraugus County,Cattaraugus
222,1988,13174,Cattaraugus County,Cattaraugus
223,1989,14154,Cattaraugus County,Cattaraugus
224,1990,14930,Cattaraugus County,Cattaraugus
225,1991,15250,Cattaraugus County,Cattaraugus
226,1992,16235,Cattaraugus County,Cattaraugus
227,1993,16386,Cattaraugus County,Cattaraugus
228,1994,16928,Cattaraugus County,Cattaraugus
229,1995,17707,Cattaraugus County,Cattaraugus
