FIPS Code,Geography,Year,Program Type,Population,Land Area (Square Miles),Population Density (Population per Square Mile),Starting pop den. 1970,Starting pop 1970,50-Year Population Growth,10-Year Population Growth
36001,Albany County,1970,Census Base Population,286742,522.8,548.4736036725326,548.4736036725326,286742.0,,
36001,Albany County,1980,Census Base Population,285909,522.8,546.88026013772,548.4736036725326,286742.0,,-0.002905050533231965
36001,Albany County,1990,Census Base Population,292812,522.8,560.0841622035196,548.4736036725326,286742.0,,0.02414404583276497
36001,Albany County,2000,Census Base Population,294601,522.8,563.5061208875287,548.4736036725326,286742.0,,0.0061097222791415655
36001,Albany County,2010,Census Base Population,304199,522.8,581.8649579188983,548.4736036725326,286742.0,,0.03257965858907472
36001,Albany County,2020,Census Base Population,314848,522.8,602.2341239479725,548.4736036725326,286742.0,0.09801842771550733,0.03500668969983465
36003,Allegany County,1970,Census Base Population,46458,1029.31,45.13509049751776,45.13509049751776,46458.0,,
36003,Allegany County,1980,Census Base Population,51742,1029.31,50.26862655565379,45.13509049751776,46458.0,,0.11373713892117611
36003,Allegany County,1990,Census Base Population,50470,1029.31,49.03284724718501,45.13509049751776,46458.0,,-0.024583510494375942
36003,Allegany County,2000,Census Base Population,49881,1029.31,48.4606192497887,45.13509049751776,46458.0,,-0.01167029918763622
36003,Allegany County,2010,Census Base Population,48923,1029.31,47.529898669982806,45.13509049751776,46458.0,,-0.019205709588821396
36003,Allegany County,2020,Census Base Population,46456,1029.31,45.13314744829061,45.13509049751776,46458.0,-4.3049636230573854e-05,-0.05042617991537723
36005,Bronx County,1970,Census Base Population,1471701,42.1,34957.26840855107,34957.26840855107,1471701.0,,
36005,Bronx County,1980,Census Base Population,1168972,42.1,27766.555819477435,34957.26840855107,1471701.0,,-0.2057000708703738
36005,Bronx County,1990,Census Base Population,1203789,42.1,28593.56294536817,34957.26840855107,1471701.0,,0.029784289101877547
36005,Bronx County,2000,Census Base Population,1332244,42.1,31644.75059382423,34957.26840855107,1471701.0,,0.1067088999816413
36005,Bronx County,2010,Census Base Population,1384224,42.1,32879.42992874109,34957.26840855107,1471701.0,,0.03901687678833607
36005,Bronx County,2020,Census Base Population,1472654,42.1,34979.90498812351,34957.26840855107,1471701.0,0.000647550011857028,0.06388416903622535
36007,Broome County,1970,Census Base Population,221815,705.77,314.2879408305822,314.2879408305822,221815.0,,
36007,Broome County,1980,Census Base Population,213648,705.77,302.7161823256869,314.2879408305822,221815.0,,-0.036818970763924895
36007,Broome County,1990,Census Base Population,212160,705.77,300.60784674894086,314.2879408305822,221815.0,,-0.006964727027634239
36007,Broome County,2000,Census Base Population,200415,705.77,283.96644799297223,314.2879408305822,221815.0,,-0.0553591628959276
36007,Broome County,2010,Census Base Population,200670,705.77,284.3277555010839,314.2879408305822,221815.0,,0.0012723598533043933
36007,Broome County,2020,Census Base Population,198683,705.77,281.51239072218993,314.2879408305822,221815.0,-0.10428510245024006,-0.00990182887327453
36009,Cattaraugus County,1970,Census Base Population,81666,1308.35,62.41907746398135,62.41907746398135,81666.0,,
36009,Cattaraugus County,1980,Census Base Population,85697,1308.35,65.50005732411053,62.41907746398135,81666.0,,0.04935958660887028
36009,Cattaraugus County,1990,Census Base Population,84234,1308.35,64.38185500821646,62.41907746398135,81666.0,,-0.017071776141521874
36009,Cattaraugus County,2000,Census Base Population,83874,1308.35,64.10669927771622,62.41907746398135,81666.0,,-0.004273808675831612
36009,Cattaraugus County,2010,Census Base Population,80337,1308.35,61.40329422555127,62.41907746398135,81666.0,,-0.04217039845482509
36009,Cattaraugus County,2020,Census Base Population,77042,1308.35,58.88485497000038,62.41907746398135,81666.0,-0.056620870374452036,-0.041014725468961996
36011,Cayuga County,1970,Census Base Population,77439,691.58,111.97403048092772,111.97403048092772,77439.0,,
36011,Cayuga County,1980,Census Base Population,79894,691.58,115.52387287081754,111.97403048092772,77439.0,,0.03170237218972352
