,region,code,value,series_id,year
0,Louisiana,22,23997,LAPCPI,2000-01-01
1,Indiana,18,28153,INPCPI,2000-01-01
2,Maryland,24,35591,MDPCPI,2000-01-01
3,Iowa,19,27390,IAPCPI,2000-01-01
4,Montana,30,23081,MTPCPI,2000-01-01
5,Colorado,8,34029,COPCPI,2000-01-01
6,Kansas,20,28253,KSPCPI,2000-01-01
7,Vermont,50,29014,VTPCPI,2000-01-01
8,Nevada,32,31986,NVPCPI,2000-01-01
9,Arizona,4,26388,AZPCPI,2000-01-01
10,Missouri,29,27941,MOPCPI,2000-01-01
11,New York,36,36090,NYPCPI,2000-01-01
12,Virginia,51,32715,VAPCPI,2000-01-01
13,Texas,48,28383,TXPCPI,2000-01-01
14,Nebraska,31,29039,NEPCPI,2000-01-01
15,North Dakota,38,25892,NDPCPI,2000-01-01
16,District of Columbia,11,43524,DCPCPI,2000-01-01
17,Ohio,39,28598,OHPCPI,2000-01-01
18,Utah,49,24260,UTPCPI,2000-01-01
19,Tennessee,47,27066,TNPCPI,2000-01-01
20,Wisconsin,55,29556,WIPCPI,2000-01-01
21,California,6,33410,CAPCPI,2000-01-01
22,Delaware,10,33884,DEPCPI,2000-01-01
23,Idaho,16,25183,IDPCPI,2000-01-01
24,Pennsylvania,42,30443,PAPCPI,2000-01-01
25,South Dakota,46,26825,SDPCPI,2000-01-01
26,Kentucky,21,24868,KYPCPI,2000-01-01
27,New Jersey,34,39216,NJPCPI,2000-01-01
28,Arkansas,5,22781,ARPCPI,2000-01-01
29,Connecticut,9,43070,CTPCPI,2000-01-01
30,Wyoming,56,29607,WYPCPI,2000-01-01
31,Mississippi,28,21681,MSPCPI,2000-01-01
32,Oklahoma,40,24178,OKPCPI,2000-01-01
33,Illinois,17,33212,ILPCPI,2000-01-01
34,North Carolina,37,27510,NCPCPI,2000-01-01
35,West Virginia,54,22317,WVPCPI,2000-01-01
36,Oregon,41,28386,ORPCPI,2000-01-01
37,South Carolina,45,25133,SCPCPI,2000-01-01
38,New Hampshire,33,35335,NHPCPI,2000-01-01
39,Maine,23,27491,MEPCPI,2000-01-01
40,Rhode Island,44,30417,RIPCPI,2000-01-01
41,Hawaii,15,29319,HIPCPI,2000-01-01
42,Michigan,26,30344,MIPCPI,2000-01-01
43,Washington,53,32723,WAPCPI,2000-01-01
44,Georgia,13,28851,GAPCPI,2000-01-01
45,Alaska,2,32044,AKPCPI,2000-01-01
46,Florida,12,29466,FLPCPI,2000-01-01
47,Minnesota,27,32448,MNPCPI,2000-01-01
48,Alabama,1,24306,ALPCPI,2000-01-01
49,Massachusetts,25,38594,MAPCPI,2000-01-01
50,New Mexico,35,23102,NMPCPI,2000-01-01
51,Ohio,39,29323,OHPCPI,2001-01-01
52,South Carolina,45,25737,SCPCPI,2001-01-01
53,Oregon,41,28829,ORPCPI,2001-01-01
54,Missouri,29,28690,MOPCPI,2001-01-01
55,Oklahoma,40,25608,OKPCPI,2001-01-01
56,Georgia,13,29762,GAPCPI,2001-01-01
57,Wyoming,56,31347,WYPCPI,2001-01-01
58,Colorado,8,34897,COPCPI,2001-01-01
59,Hawaii,15,30229,HIPCPI,2001-01-01
60,Montana,30,23996,MTPCPI,2001-01-01
61,West Virginia,54,23754,WVPCPI,2001-01-01
62,California,6,34046,CAPCPI,2001-01-01
63,Iowa,19,28162,IAPCPI,2001-01-01
64,Texas,48,29644,TXPCPI,2001-01-01
65,Arizona,4,27008,AZPCPI,2001-01-01
66,Idaho,16,25799,IDPCPI,2001-01-01
67,North Dakota,38,26541,NDPCPI,2001-01-01
68,Wisconsin,55,30841,WIPCPI,2001-01-01
69,Arkansas,5,23873,ARPCPI,2001-01-01
70,Illinois,17,34299,ILPCPI,2001-01-01
71,Florida,12,30418,FLPCPI,2001-01-01
72,New Hampshire,33,36747,NHPCPI,2001-01-01
73,Washington,53,33084,WAPCPI,2001-01-01
74,District of Columbia,11,44871,DCPCPI,2001-01-01
75,Alabama,1,25057,ALPCPI,2001-01-01
76,Mississippi,28,22845,MSPCPI,2001-01-01
77,Indiana,18,28639,INPCPI,2001-01-01
78,Alaska,2,33626,AKPCPI,2001-01-01
79,New Jersey,34,40245,NJPCPI,2001-01-01
80,Vermont,50,30716,VTPCPI,2001-01-01
81,Kansas,20,29112,KSPCPI,2001-01-01
82,Utah,49,24925,UTPCPI,2001-01-01
83,Kentucky,21,25596,KYPCPI,2001-01-01
84,New Mexico,35,24601,NMPCPI,2001-01-01
85,Virginia,51,34001,VAPCPI,2001-01-01
86,Rhode Island,44,31815,RIPCPI,2001-01-01
87,Massachusetts,25,39872,MAPCPI,2001-01-01
88,Nebraska,31,30275,NEPCPI,2001-01-01
89,Maryland,24,37076,MDPCPI,2001-01-01
90,Nevada,32,32461,NVPCPI,2001-01-01
91,Tennessee,47,27541,TNPCPI,2001-01-01
92,North Carolina,37,27838,NCPCPI,2001-01-01
93,Maine,23,28824,MEPCPI,2001-01-01
94,Delaware,10,36922,DEPCPI,2001-01-01
95,New York,36,37283,NYPCPI,2001-01-01
96,South Dakota,46,27645,SDPCPI,2001-01-01
97,Louisiana,22,25663,LAPCPI,2001-01-01
98,Michigan,26,30749,MIPCPI,2001-01-01
99,Pennsylvania,42,31634,PAPCPI,2001-01-01
100,Minnesota,27,33490,MNPCPI,2001-01-01
101,Connecticut,9,45153,CTPCPI,2001-01-01
102,Michigan,26,30602,MIPCPI,2002-01-01
103,District of Columbia,11,45147,DCPCPI,2002-01-01
104,Delaware,10,37658,DEPCPI,2002-01-01
105,Wyoming,56,31854,WYPCPI,2002-01-01
106,Montana,30,24554,MTPCPI,2002-01-01
107,West Virginia,54,24517,WVPCPI,2002-01-01
108,North Dakota,38,27218,NDPCPI,2002-01-01
109,Wisconsin,55,31425,WIPCPI,2002-01-01
110,Texas,48,29524,TXPCPI,2002-01-01
111,New Hampshire,33,36974,NHPCPI,2002-01-01
112,Washington,53,33212,WAPCPI,2002-01-01
113,New Jersey,34,40474,NJPCPI,2002-01-01
114,Vermont,50,31217,VTPCPI,2002-01-01
115,New Mexico,35,25255,NMPCPI,2002-01-01
116,Virginia,51,34498,VAPCPI,2002-01-01
117,Nevada,32,32130,NVPCPI,2002-01-01
118,Tennessee,47,28113,TNPCPI,2002-01-01
119,New York,36,37088,NYPCPI,2002-01-01
120,South Dakota,46,27572,SDPCPI,2002-01-01
121,Ohio,39,29693,OHPCPI,2002-01-01
122,South Carolina,45,26182,SCPCPI,2002-01-01
123,Oklahoma,40,26023,OKPCPI,2002-01-01
124,Missouri,29,29168,MOPCPI,2002-01-01
125,Oregon,41,28749,ORPCPI,2002-01-01
126,Minnesota,27,33955,MNPCPI,2002-01-01
127,Pennsylvania,42,32133,PAPCPI,2002-01-01
128,Louisiana,22,26289,LAPCPI,2002-01-01
129,Maine,23,29572,MEPCPI,2002-01-01
130,North Carolina,37,27852,NCPCPI,2002-01-01
131,Maryland,24,38035,MDPCPI,2002-01-01
132,Nebraska,31,30599,NEPCPI,2002-01-01
133,Massachusetts,25,39540,MAPCPI,2002-01-01
134,Rhode Island,44,32807,RIPCPI,2002-01-01
135,Kentucky,21,26057,KYPCPI,2002-01-01
136,Utah,49,25190,UTPCPI,2002-01-01
137,Kansas,20,29248,KSPCPI,2002-01-01
138,Mississippi,28,23219,MSPCPI,2002-01-01
139,Alaska,2,34756,AKPCPI,2002-01-01
140,Indiana,18,28918,INPCPI,2002-01-01
141,Alabama,1,25648,ALPCPI,2002-01-01
142,Illinois,17,34594,ILPCPI,2002-01-01
143,Arkansas,5,24306,ARPCPI,2002-01-01
144,Idaho,16,26233,IDPCPI,2002-01-01
145,Arizona,4,27353,AZPCPI,2002-01-01
146,Iowa,19,28772,IAPCPI,2002-01-01
147,California,6,34131,CAPCPI,2002-01-01
148,Hawaii,15,31257,HIPCPI,2002-01-01
149,Colorado,8,34438,COPCPI,2002-01-01
150,Georgia,13,30133,GAPCPI,2002-01-01
