FIPS Code,Geography,Year,Program Type,Population
36001,Albany County,1970,Intercensal Population Estimate,287114
36001,Albany County,1971,Intercensal Population Estimate,288615
36001,Albany County,1972,Intercensal Population Estimate,290302
36001,Albany County,1973,Intercensal Population Estimate,289754
36001,Albany County,1974,Intercensal Population Estimate,289148
36001,Albany County,1975,Intercensal Population Estimate,287864
36001,Albany County,1976,Intercensal Population Estimate,286519
36001,Albany County,1977,Intercensal Population Estimate,286155
36001,Albany County,1978,Intercensal Population Estimate,286918
36001,Albany County,1979,Intercensal Population Estimate,286968
36001,Albany County,1980,Intercensal Population Estimate,286290
36001,Albany County,1981,Intercensal Population Estimate,286690
36001,Albany County,1982,Intercensal Population Estimate,287159
36001,Albany County,1983,Intercensal Population Estimate,287780
36001,Albany County,1984,Intercensal Population Estimate,288450
36001,Albany County,1985,Intercensal Population Estimate,289760
36001,Albany County,1986,Intercensal Population Estimate,291010
36001,Albany County,1987,Intercensal Population Estimate,290843
36001,Albany County,1988,Intercensal Population Estimate,291094
36001,Albany County,1989,Intercensal Population Estimate,292202
36001,Albany County,1990,Intercensal Population Estimate,292956
36001,Albany County,1991,Intercensal Population Estimate,295530
36001,Albany County,1992,Intercensal Population Estimate,296913
36001,Albany County,1993,Intercensal Population Estimate,298592
36001,Albany County,1994,Intercensal Population Estimate,300262
36001,Albany County,1995,Intercensal Population Estimate,299725
36001,Albany County,1996,Intercensal Population Estimate,297680
36001,Albany County,1997,Intercensal Population Estimate,296187
36001,Albany County,1998,Intercensal Population Estimate,295097
36001,Albany County,1999,Intercensal Population Estimate,294692
36001,Albany County,2000,Intercensal Population Estimate,295106
36001,Albany County,2001,Intercensal Population Estimate,296232
36001,Albany County,2002,Intercensal Population Estimate,298283
36001,Albany County,2003,Intercensal Population Estimate,301085
36001,Albany County,2004,Intercensal Population Estimate,302173
36001,Albany County,2005,Intercensal Population Estimate,302791
36001,Albany County,2006,Intercensal Population Estimate,303997
36001,Albany County,2007,Intercensal Population Estimate,303858
36001,Albany County,2008,Intercensal Population Estimate,303739
36001,Albany County,2009,Intercensal Population Estimate,304733
