Land Area,County,State,Population
"2,680.38",Saint Lawrence, NY ,"112,015"
"1,794.23",Essex, NY ,"39,072"
"1,717.37",Hamilton, NY ,"4,783"
"1,629.12",Franklin, NY ,"51,508"
"1,442.44",Delaware, NY ,"47,223"
"1,411.47",Herkimer, NY ,"64,329"
"1,390.56",Steuben, NY ,"98,917"
"1,308.35",Cattaraugus, NY ,"79,397"
"1,274.68",Lewis, NY ,"27,164"
"1,268.59",Jefferson, NY ,"118,885"
"1,212.43",Oneida, NY ,"233,944"
"1,124.23",Ulster, NY ,"181,598"
"1,060.23",Chautauqua, NY ,"133,556"
"1,042.69",Erie, NY ,"920,694"
"1,037.85",Clinton, NY ,"81,829"
"1,029.31",Allegany, NY ,"48,387"
"1,001.70",Otsego, NY ,"61,778"
968.13,Sullivan, NY ,"76,892"
951.65,Oswego, NY ,"121,659"
912.05,Suffolk, NY ,"1,500,373"
893.55,Chenango, NY ,"49,868"
866.95,Warren, NY ,"65,388"
831.18,Washington, NY ,"62,910"
811.69,Orange, NY ,"374,518"
809.98,Saratoga, NY ,"222,512"
795.63,Dutchess, NY ,"297,388"
778.39,Onondaga, NY ,"467,846"
705.77,Broome, NY ,"198,797"
691.58,Cayuga, NY ,"79,481"
657.2,Monroe, NY ,"748,076"
654.84,Madison, NY ,"72,731"
652.43,Rensselaer, NY ,"159,600"
647.16,Greene, NY ,"48,618"
644.06,Ontario, NY ,"108,975"
634.7,Columbia, NY ,"62,525"
631.76,Livingston, NY ,"64,867"
621.82,Schoharie, NY ,"32,153"
603.83,Wayne, NY ,"92,887"
592.75,Wyoming, NY ,"41,679"
522.8,Albany, NY ,"306,124"
522.36,Niagara, NY ,"214,973"
518.6,Tioga, NY ,"50,464"
498.76,Cortland, NY ,"49,231"
495.47,Fulton, NY ,"54,870"
492.94,Genesee, NY ,"59,702"
474.65,Tompkins, NY ,"103,179"
430.5,Westchester, NY ,"962,319"
407.35,Chemung, NY ,"88,681"
403.04,Montgomery, NY ,"49,951"
391.26,Orleans, NY ,"42,492"
338.14,Yates, NY ,"25,281"
328.33,Schuyler, NY ,"18,458"
323.71,Seneca, NY ,"35,232"
284.72,Nassau, NY ,"1,350,601"
230.31,Putnam, NY ,"99,697"
204.52,Schenectady, NY ,"155,178"
173.55,Rockland, NY ,"318,186"
108.53,Queens, NY ,"2,280,602"
70.82,Kings, NY ,"2,570,801"
58.37,Richmond, NY ,"471,522"
42.1,Bronx, NY ,"1,413,566"
22.83,New York, NY ,"1,618,398"
