FIPS Code,Geography,Year,Program Type,Population,County,Land Area (sq mi.),Population Density (person/sq.mi.),Population Growth Rate(10yr) ,Annual Population Growth Rate,2-Year Growth Rate,3-Year Growth Rate,4-Year Growth Rate,5-Year Growth Rate
36001,Albany County,1970,Census Base Population,286742,Albany,522.8,548.4736037,,,,,,
36001,Albany County,1980,Census Base Population,285909,Albany,522.8,546.8802601,-0.002905051,,,,,
36001,Albany County,1990,Census Base Population,292812,Albany,522.8,560.0841622,0.024144046,,,,,
36001,Albany County,2000,Census Base Population,294601,Albany,522.8,563.5061209,0.006109722,,,,,
36001,Albany County,2010,Census Base Population,304199,Albany,522.8,581.8649579,0.032579659,,,,,
36001,Albany County,2020,Census Base Population,314848,Albany,522.8,602.2341239,0.03500669,,,,,
36003,Allegany County,1970,Census Base Population,46458,Allegany,1029.31,45.1350905,0,,,,,
36003,Allegany County,1980,Census Base Population,51742,Allegany,1029.31,50.26862656,0.113737139,,,,,
36003,Allegany County,1990,Census Base Population,50470,Allegany,1029.31,49.03284725,-0.02458351,,,,,
36003,Allegany County,2000,Census Base Population,49881,Allegany,1029.31,48.46061925,-0.011670299,,,,,
36003,Allegany County,2010,Census Base Population,48923,Allegany,1029.31,47.52989867,-0.01920571,,,,,
36003,Allegany County,2020,Census Base Population,46456,Allegany,1029.31,45.13314745,-0.05042618,,,,,
36005,Bronx County,1970,Census Base Population,1471701,Bronx,42.1,34957.26841,0,,,,,
36005,Bronx County,1980,Census Base Population,1168972,Bronx,42.1,27766.55582,-0.205700071,,,,,
36005,Bronx County,1990,Census Base Population,1203789,Bronx,42.1,28593.56295,0.029784289,,,,,
36005,Bronx County,2000,Census Base Population,1332244,Bronx,42.1,31644.75059,0.1067089,,,,,
36005,Bronx County,2010,Census Base Population,1384224,Bronx,42.1,32879.42993,0.039016877,,,,,
36005,Bronx County,2020,Census Base Population,1472654,Bronx,42.1,34979.90499,0.063884169,,,,,
36007,Broome County,1970,Census Base Population,221815,Broome,705.77,314.2879408,0,,,,,
36007,Broome County,1980,Census Base Population,213648,Broome,705.77,302.7161823,-0.036818971,,,,,
36007,Broome County,1990,Census Base Population,212160,Broome,705.77,300.6078467,-0.006964727,,,,,
36007,Broome County,2000,Census Base Population,200415,Broome,705.77,283.966448,-0.055359163,,,,,
36007,Broome County,2010,Census Base Population,200670,Broome,705.77,284.3277555,0.00127236,,,,,
36007,Broome County,2020,Census Base Population,198683,Broome,705.77,281.5123907,-0.009901829,,,,,
36009,Cattaraugus County,1970,Census Base Population,81666,Cattaraugus,1308.35,62.41907746,0,,,,,
36009,Cattaraugus County,1980,Census Base Population,85697,Cattaraugus,1308.35,65.50005732,0.049359587,,,,,
36009,Cattaraugus County,1990,Census Base Population,84234,Cattaraugus,1308.35,64.38185501,-0.017071776,,,,,
36009,Cattaraugus County,2000,Census Base Population,83874,Cattaraugus,1308.35,64.10669928,-0.004273809,,,,,
36009,Cattaraugus County,2010,Census Base Population,80337,Cattaraugus,1308.35,61.40329423,-0.042170398,,,,,
36009,Cattaraugus County,2020,Census Base Population,77042,Cattaraugus,1308.35,58.88485497,-0.041014725,,,,,
36011,Cayuga County,1970,Census Base Population,77439,Cayuga,691.58,111.9740305,0,,,,,
36011,Cayuga County,1980,Census Base Population,79894,Cayuga,691.58,115.5238729,0.031702372,,,,,
36011,Cayuga County,1990,Census Base Population,82313,Cayuga,691.58,119.0216605,0.030277618,,,,,
36011,Cayuga County,2000,Census Base Population,81910,Cayuga,691.58,118.4389369,-0.004895946,,,,,
36011,Cayuga County,2010,Census Base Population,80022,Cayuga,691.58,115.7089563,-0.023049689,,,,,
36011,Cayuga County,2020,Census Base Population,76248,Cayuga,691.58,110.251887,-0.04716203,,,,,
36013,Chautauqua County,1970,Census Base Population,147305,Chautauqua,1060.23,138.9368345,0,,,,,
36013,Chautauqua County,1980,Census Base Population,146925,Chautauqua,1060.23,138.5784217,-0.002579682,,,,,
36013,Chautauqua County,1990,Census Base Population,141895,Chautauqua,1060.23,133.8341681,-0.034235154,,,,,
36013,Chautauqua County,2000,Census Base Population,139698,Chautauqua,1060.23,131.7619762,-0.01548328,,,,,
36013,Chautauqua County,2010,Census Base Population,134907,Chautauqua,1060.23,127.2431454,-0.034295409,,,,,
36013,Chautauqua County,2020,Census Base Population,127657,Chautauqua,1060.23,120.4050065,-0.053740725,,,,,
36015,Chemung County,1970,Census Base Population,101537,Chemung,407.35,249.2623051,0,,,,,
36015,Chemung County,1980,Census Base Population,97656,Chemung,407.35,239.7348717,-0.03822252,,,,,
36015,Chemung County,1990,Census Base Population,95195,Chemung,407.35,233.6933841,-0.025200705,,,,,
36015,Chemung County,2000,Census Base Population,91119,Chemung,407.35,223.6872468,-0.042817375,,,,,
36015,Chemung County,2010,Census Base Population,88846,Chemung,407.35,218.1072788,-0.024945401,,,,,
36015,Chemung County,2020,Census Base Population,84148,Chemung,407.35,206.5741991,-0.052878014,,,,,
36017,Chenango County,1970,Census Base Population,46368,Chenango,893.55,51.89189189,0,,,,,
36017,Chenango County,1980,Census Base Population,49344,Chenango,893.55,55.2224274,0.064182195,,,,,
36017,Chenango County,1990,Census Base Population,51768,Chenango,893.55,57.93520228,0.049124514,,,,,
36017,Chenango County,2000,Census Base Population,51356,Chenango,893.55,57.47412008,-0.007958584,,,,,
36017,Chenango County,2010,Census Base Population,50516,Chenango,893.55,56.53404958,-0.016356414,,,,,
36017,Chenango County,2020,Census Base Population,47220,Chenango,893.55,52.84539198,-0.065246655,,,,,
36019,Clinton County,1970,Census Base Population,72934,Clinton,1037.85,70.27412439,0,,,,,
36019,Clinton County,1980,Census Base Population,80750,Clinton,1037.85,77.80507781,0.107165382,,,,,
36019,Clinton County,1990,Census Base Population,85969,Clinton,1037.85,82.83374283,0.064631579,,,,,
36019,Clinton County,2000,Census Base Population,79882,Clinton,1037.85,76.96873344,-0.070804592,,,,,
36019,Clinton County,2010,Census Base Population,82131,Clinton,1037.85,79.13571325,0.028154027,,,,,
36019,Clinton County,2020,Census Base Population,79843,Clinton,1037.85,76.93115575,-0.027857934,,,,,
36021,Columbia County,1970,Census Base Population,51519,Columbia,634.7,81.17063179,0,,,,,
36021,Columbia County,1980,Census Base Population,59487,Columbia,634.7,93.7245943,0.154661387,,,,,
36021,Columbia County,1990,Census Base Population,62982,Columbia,634.7,99.23113282,0.058752332,,,,,
36021,Columbia County,2000,Census Base Population,63074,Columbia,634.7,99.37608319,0.001460735,,,,,
36021,Columbia County,2010,Census Base Population,63063,Columbia,634.7,99.35875217,-0.000174398,,,,,
36021,Columbia County,2020,Census Base Population,61570,Columbia,634.7,97.00645974,-0.023674738,,,,,
36023,Cortland County,1970,Census Base Population,45894,Cortland,498.76,92.01620018,0,,,,,
36023,Cortland County,1980,Census Base Population,48820,Cortland,498.76,97.88274922,0.063755611,,,,,
36023,Cortland County,1990,Census Base Population,48963,Cortland,498.76,98.16946026,0.002929127,,,,,
36023,Cortland County,2000,Census Base Population,48704,Cortland,498.76,97.65017243,-0.005289709,,,,,
36023,Cortland County,2010,Census Base Population,49287,Cortland,498.76,98.8190713,0.011970269,,,,,
36023,Cortland County,2020,Census Base Population,46809,Cortland,498.76,93.85074986,-0.050276949,,,,,
36025,Delaware County,1970,Census Base Population,44718,Delaware,1442.44,31.00163612,0,,,,,
36025,Delaware County,1980,Census Base Population,46824,Delaware,1442.44,32.46166218,0.047095129,,,,,
36025,Delaware County,1990,Census Base Population,47352,Delaware,1442.44,32.8277086,0.011276269,,,,,
36025,Delaware County,2000,Census Base Population,47894,Delaware,1442.44,33.2034608,0.01144619,,,,,
36025,Delaware County,2010,Census Base Population,47962,Delaware,1442.44,33.25060314,0.001419802,,,,,
36025,Delaware County,2020,Census Base Population,44308,Delaware,1442.44,30.71739552,-0.076185313,,,,,
36027,Dutchess County,1970,Census Base Population,222295,Dutchess,795.63,279.3949449,0,,,,,
36027,Dutchess County,1980,Census Base Population,245055,Dutchess,795.63,308.0012066,0.102386468,,,,,
36027,Dutchess County,1990,Census Base Population,259462,Dutchess,795.63,326.1088697,0.058790884,,,,,
36027,Dutchess County,2000,Census Base Population,280032,Dutchess,795.63,351.9625957,0.079279432,,,,,
36027,Dutchess County,2010,Census Base Population,297444,Dutchess,795.63,373.84714,0.062178608,,,,,
36027,Dutchess County,2020,Census Base Population,295911,Dutchess,795.63,371.920365,-0.005153911,,,,,
36029,Erie County,1970,Census Base Population,1113491,Erie,1042.69,1067.902253,0,,,,,
36029,Erie County,1980,Census Base Population,1015472,Erie,1042.69,973.8963642,-0.088028552,,,,,
36029,Erie County,1990,Census Base Population,968584,Erie,1042.69,928.9280611,-0.046173602,,,,,
36029,Erie County,2000,Census Base Population,950227,Erie,1042.69,911.3226366,-0.018952409,,,,,
36029,Erie County,2010,Census Base Population,919129,Erie,1042.69,881.4978565,-0.032726917,,,,,
36029,Erie County,2020,Census Base Population,954236,Erie,1042.69,915.1674994,0.038195944,,,,,
36031,Essex County,1970,Census Base Population,34631,Essex,1794.23,19.30131588,0,,,,,
