FIPS Code,Geography,Year,Program Type,Population,County,Land Area (sq mi.),Population Density (person/sq.mi.),Annual Population Growth Rate,2-Year Growth Rate,3-Year Growth Rate,4-Year Growth Rate,5-Year Growth Rate,10-Year Growth Rate
36001,Albany County,1970,Intercensal Population Estimate,287114,Albany,522.8,549.1851568,,,,,,
36001,Albany County,1971,Intercensal Population Estimate,288615,Albany,522.8,552.0562357,0.005227889,,,,,
36001,Albany County,1972,Intercensal Population Estimate,290302,Albany,522.8,555.283091,0.005845157,0.011103603,,,,
36001,Albany County,1973,Intercensal Population Estimate,289754,Albany,522.8,554.2348891,-0.001887689,0.003946434,0.009194954,,,
36001,Albany County,1974,Intercensal Population Estimate,289148,Albany,522.8,553.075746,-0.002091429,-0.003975171,0.001846751,0.007084294,,
36001,Albany County,1975,Intercensal Population Estimate,287864,Albany,522.8,550.6197399,-0.004440632,-0.006522774,-0.008398151,-0.002602082,0.002612203,
36001,Albany County,1976,Intercensal Population Estimate,286519,Albany,522.8,548.0470543,-0.004672345,-0.00909223,-0.011164643,-0.013031257,-0.00726227,
36001,Albany County,1977,Intercensal Population Estimate,286155,Albany,522.8,547.3508034,-0.001270422,-0.005936831,-0.0103511,-0.012420881,-0.014285124,
36001,Albany County,1978,Intercensal Population Estimate,286918,Albany,522.8,548.8102525,0.002666387,0.001392578,-0.003286274,-0.007712313,-0.009787613,
36001,Albany County,1979,Intercensal Population Estimate,286968,Albany,522.8,548.9058914,0.000174266,0.002841118,0.001567086,-0.003112581,-0.007539392,
36001,Albany County,1980,Intercensal Population Estimate,286290,Albany,522.8,547.6090283,-0.002362633,-0.002188779,0.000471772,-0.000799249,-0.00546786,-0.00286994
36001,Albany County,1981,Intercensal Population Estimate,286690,Albany,522.8,548.3741393,0.001397185,-0.000968749,-0.000794652,0.001869616,0.000596819,-0.006669785
36001,Albany County,1982,Intercensal Population Estimate,287159,Albany,522.8,549.2712318,0.001635913,0.003035384,0.000665579,0.000839961,0.003508588,-0.010826656
36001,Albany County,1983,Intercensal Population Estimate,287780,Albany,522.8,550.4590666,0.002162565,0.003802016,0.005204513,0.002829584,0.003004343,-0.006812676
36001,Albany County,1984,Intercensal Population Estimate,288450,Albany,522.8,551.7406274,0.002328167,0.004495767,0.006139035,0.007544797,0.005164339,-0.002413989
36001,Albany County,1985,Intercensal Population Estimate,289760,Albany,522.8,554.2463657,0.004541515,0.006880256,0.0090577,0.010708431,0.012120577,0.006586444
36001,Albany County,1986,Intercensal Population Estimate,291010,Albany,522.8,556.6373374,0.004313915,0.008875022,0.011223852,0.013410689,0.015068541,0.015674353
36001,Albany County,1987,Intercensal Population Estimate,290843,Albany,522.8,556.3179036,-0.000573863,0.003737576,0.008296065,0.010643547,0.01282913,0.01638273
36001,Albany County,1988,Intercensal Population Estimate,291094,Albany,522.8,556.7980107,0.000863009,0.00028865,0.00460381,0.009166233,0.011515741,0.014554681
36001,Albany County,1989,Intercensal Population Estimate,292202,Albany,522.8,558.917368,0.003806331,0.004672624,0.004096079,0.008427664,0.013007454,0.018238967
36001,Albany County,1990,Intercensal Population Estimate,292956,Albany,522.8,560.3596021,0.002580407,0.006396559,0.007265088,0.006687055,0.011029818,0.023284083
36001,Albany County,1991,Intercensal Population Estimate,295530,Albany,522.8,565.283091,0.008786302,0.011389381,0.015239064,0.016115224,0.015532112,0.0308347
36001,Albany County,1992,Intercensal Population Estimate,296913,Albany,522.8,567.9284621,0.004679728,0.013507148,0.016122408,0.019990106,0.020870366,0.033967245
36001,Albany County,1993,Intercensal Population Estimate,298592,Albany,522.8,571.1400153,0.005654855,0.010361046,0.019238384,0.021868433,0.025758003,0.037570366
36001,Albany County,1994,Intercensal Population Estimate,300262,Albany,522.8,574.3343535,0.005592916,0.011279398,0.016011911,0.024938899,0.027583658,0.040949905
36001,Albany County,1995,Intercensal Population Estimate,299725,Albany,522.8,573.307192,-0.001788438,0.003794475,0.009470788,0.014194836,0.023105859,0.03439053
36001,Albany County,1996,Intercensal Population Estimate,297680,Albany,522.8,569.3955624,-0.006822921,-0.008599157,-0.003054335,0.002583248,0.007275065,0.022920175
36001,Albany County,1997,Intercensal Population Estimate,296187,Albany,522.8,566.5397858,-0.005015453,-0.011804154,-0.013571481,-0.008054469,-0.002445161,0.018374174
36001,Albany County,1998,Intercensal Population Estimate,295097,Albany,522.8,564.4548585,-0.003680107,-0.008677103,-0.015440821,-0.017201644,-0.011704935,0.013751572
36001,Albany County,1999,Intercensal Population Estimate,294692,Albany,522.8,563.6801836,-0.00137243,-0.005047487,-0.010037624,-0.016792059,-0.018550466,0.008521502
36001,Albany County,2000,Intercensal Population Estimate,295106,Albany,522.8,564.4720735,0.001404857,3.04984E-05,-0.003649721,-0.008646869,-0.015410793,0.007338986
36001,Albany County,2001,Intercensal Population Estimate,296232,Albany,522.8,566.6258607,0.003815578,0.005225795,0.003846193,0.000151931,-0.004864284,0.002375393
36001,Albany County,2002,Intercensal Population Estimate,298283,Albany,522.8,570.5489671,0.006923627,0.010765623,0.012185604,0.01079645,0.00707661,0.004614146
36001,Albany County,2003,Intercensal Population Estimate,301085,Albany,522.8,575.9085692,0.009393764,0.01638243,0.020260517,0.021693836,0.020291633,0.008349186
36001,Albany County,2004,Intercensal Population Estimate,302173,Albany,522.8,577.989671,0.003613597,0.013041306,0.020055227,0.023947327,0.025385827,0.006364442
36001,Albany County,2005,Intercensal Population Estimate,302791,Albany,522.8,579.1717674,0.002045186,0.005666174,0.015113164,0.02214143,0.02604149,0.010229377
36001,Albany County,2006,Intercensal Population Estimate,303997,Albany,522.8,581.4785769,0.003982945,0.006036277,0.009671687,0.019156305,0.026212563,0.021220774
36001,Albany County,2007,Intercensal Population Estimate,303858,Albany,522.8,581.2127008,-0.000457241,0.003523883,0.005576276,0.009210024,0.018690304,0.025899179
36001,Albany County,2008,Intercensal Population Estimate,303739,Albany,522.8,580.9850803,-0.00039163,-0.000848693,0.003130872,0.005182462,0.008814787,0.029285286
36001,Albany County,2009,Intercensal Population Estimate,304733,Albany,522.8,582.886381,0.003272546,0.002879635,0.002421077,0.006413665,0.008471968,0.034072863
36003,Allegany County,1970,Intercensal Population Estimate,46782,Allegany,1029.31,45.44986447,,,,,,
36003,Allegany County,1971,Intercensal Population Estimate,48062,Allegany,1029.31,46.69341598,0.027360951,,,,,
36003,Allegany County,1972,Intercensal Population Estimate,49963,Allegany,1029.31,48.54028427,0.039553077,0.067996238,,,,
36003,Allegany County,1973,Intercensal Population Estimate,50255,Allegany,1029.31,48.82396946,0.005844325,0.045628563,0.074237955,,,
36003,Allegany County,1974,Intercensal Population Estimate,50539,Allegany,1029.31,49.09988245,0.005651179,0.011528531,0.051537597,0.080308666,,
36003,Allegany County,1975,Intercensal Population Estimate,51452,Allegany,1029.31,49.98688442,0.018065257,0.023818526,0.029802054,0.070533894,0.099824719,
36003,Allegany County,1976,Intercensal Population Estimate,51859,Allegany,1029.31,50.38229494,0.007910285,0.026118443,0.031917222,0.037948082,0.079002122,
36003,Allegany County,1977,Intercensal Population Estimate,52153,Allegany,1029.31,50.66792317,0.005669218,0.013624349,0.031935733,0.037767386,0.043832436,
36003,Allegany County,1978,Intercensal Population Estimate,52207,Allegany,1029.31,50.7203855,0.001035415,0.006710503,0.014673871,0.033004215,0.038841906,
36003,Allegany County,1979,Intercensal Population Estimate,52348,Allegany,1029.31,50.85737047,0.002700787,0.003738999,0.009429414,0.017414289,0.035794139,
36003,Allegany County,1980,Intercensal Population Estimate,51830,Allegany,1029.31,50.35412072,-0.009895316,-0.007221254,-0.006193316,-0.000559209,0.007346653,0.10790475
36003,Allegany County,1981,Intercensal Population Estimate,51861,Allegany,1029.31,50.38423798,0.000598109,-0.009303125,-0.006627464,-0.005598911,3.85661E-05,0.079043735
36003,Allegany County,1982,Intercensal Population Estimate,51640,Allegany,1029.31,50.16953105,-0.004261391,-0.003665831,-0.013524872,-0.010860613,-0.009836443,0.033564838
36003,Allegany County,1983,Intercensal Population Estimate,51354,Allegany,1029.31,49.89167501,-0.005538342,-0.009776132,-0.00918387,-0.018988309,-0.016338805,0.021868471
36003,Allegany County,1984,Intercensal Population Estimate,51070,Allegany,1029.31,49.61576202,-0.005530241,-0.011037955,-0.015252309,-0.014663322,-0.02441354,0.010506737
36003,Allegany County,1985,Intercensal Population Estimate,50723,Allegany,1029.31,49.27864297,-0.006794596,-0.012287261,-0.017757552,-0.021943271,-0.021358287,-0.014168545
36003,Allegany County,1986,Intercensal Population Estimate,50060,Allegany,1029.31,48.63452216,-0.013070993,-0.019776777,-0.025197648,-0.030596437,-0.034727445,-0.034690218
36003,Allegany County,1987,Intercensal Population Estimate,49768,Allegany,1029.31,48.35083697,-0.005833,-0.018827751,-0.025494419,-0.03088367,-0.036250968,-0.04573083
36003,Allegany County,1988,Intercensal Population Estimate,49835,Allegany,1029.31,48.41592912,0.001346247,-0.004494606,-0.017506851,-0.024182495,-0.029579001,-0.04543452
36003,Allegany County,1989,Intercensal Population Estimate,50166,Allegany,1029.31,48.73750376,0.006641918,0.007997107,0.002117459,-0.010981212,-0.017701194,-0.041682586
36003,Allegany County,1990,Intercensal Population Estimate,50522,Allegany,1029.31,49.08336653,0.00709644,0.013785492,0.015150297,0.009228925,-0.003962699,-0.02523635
36003,Allegany County,1991,Intercensal Population Estimate,50935,Allegany,1029.31,49.48460619,0.008174657,0.015329107,0.02207284,0.023448802,0.017479025,-0.017855421
36003,Allegany County,1992,Intercensal Population Estimate,50967,Allegany,1029.31,49.51569498,0.000628252,0.008808044,0.01596699,0.022714959,0.024091786,-0.013032533
36003,Allegany County,1993,Intercensal Population Estimate,50807,Allegany,1029.31,49.36025104,-0.003139286,-0.002513007,0.005641107,0.012777578,0.019504364,-0.010651556
36003,Allegany County,1994,Intercensal Population Estimate,51012,Allegany,1029.31,49.55941359,0.004034877,0.000882924,0.001511731,0.009698745,0.016864011,-0.001135696
36003,Allegany County,1995,Intercensal Population Estimate,51251,Allegany,1029.31,49.79160797,0.004685172,0.008738953,0.005572233,0.006203985,0.014429358,0.010409479
36003,Allegany County,1996,Intercensal Population Estimate,50869,Allegany,1029.31,49.42048557,-0.007453513,-0.002803262,0.001220304,-0.001922813,-0.001295769,0.016160607
36003,Allegany County,1997,Intercensal Population Estimate,50325,Allegany,1029.31,48.89197618,-0.010694136,-0.01806794,-0.013467419,-0.009486882,-0.012596386,0.011191931
36003,Allegany County,1998,Intercensal Population Estimate,49991,Allegany,1029.31,48.56748696,-0.00663686,-0.017260021,-0.024584886,-0.020014898,-0.016060779,0.00313033
36003,Allegany County,1999,Intercensal Population Estimate,49997,Allegany,1029.31,48.5733161,0.000120022,-0.006517635,-0.017142071,-0.024467815,-0.019897279,-0.003368816
36003,Allegany County,2000,Intercensal Population Estimate,49819,Allegany,1029.31,48.40038472,-0.003560214,-0.003440619,-0.010054645,-0.020641255,-0.027940918,-0.01391473
36003,Allegany County,2001,Intercensal Population Estimate,50079,Allegany,1029.31,48.65298112,0.005218892,0.001640098,0.001760317,-0.004888227,-0.015530087,-0.016805733
36003,Allegany County,2002,Intercensal Population Estimate,50014,Allegany,1029.31,48.58983202,-0.001297949,0.003914169,0.00034002,0.000460083,-0.006179831,-0.018698373
36003,Allegany County,2003,Intercensal Population Estimate,50165,Allegany,1029.31,48.73653224,0.003019155,0.001717287,0.006945141,0.003360202,0.003480627,-0.012636054
36003,Allegany County,2004,Intercensal Population Estimate,50311,Allegany,1029.31,48.87837483,0.002910396,0.005938337,0.00463268,0.00987575,0.006280377,-0.013741865
36003,Allegany County,2005,Intercensal Population Estimate,49768,Allegany,1029.31,48.35083697,-0.010792868,-0.007913884,-0.004918623,-0.006210188,-0.001023706,-0.028936021
36003,Allegany County,2006,Intercensal Population Estimate,49359,Allegany,1029.31,47.9534834,-0.008218132,-0.018922303,-0.016066979,-0.013096333,-0.014377284,-0.029684091
36003,Allegany County,2007,Intercensal Population Estimate,49079,Allegany,1029.31,47.68145651,-0.005672724,-0.013844237,-0.024487687,-0.02164856,-0.018694765,-0.024759066
36003,Allegany County,2008,Intercensal Population Estimate,49177,Allegany,1029.31,47.77666592,0.001996781,-0.003687271,-0.0118751,-0.022539802,-0.019695006,-0.016282931
36003,Allegany County,2009,Intercensal Population Estimate,48969,Allegany,1029.31,47.5745888,-0.00422962,-0.002241284,-0.007901295,-0.016054493,-0.026674087,-0.020561234
36005,Bronx County,1970,Intercensal Population Estimate,1472841,Bronx,42.1,34984.34679,,,,,,
36005,Bronx County,1971,Intercensal Population Estimate,1477414,Bronx,42.1,35092.96912,0.003104884,,,,,
36005,Bronx County,1972,Intercensal Population Estimate,1472517,Bronx,42.1,34976.65083,-0.003314575,-0.000219983,,,,
